workers,block_index,nonce,hash_hex,attempts,duration_s,difficulty_bits,mode
1,0,3600556,00000c21d410350e0f0b684c3e87350d3225f59b4f76b04e0b39e0232612670e,3600557,272.578091,20,multiprocessing
1,1,907762,0000052efb7a3c84b795e41f0c0baf5194c8d5c45859a395de7ab35e29f66bc1,907763,51.684295,20,multiprocessing
1,2,421169,0000039051bdf11a59f713f6dd1c24a3d8aff44b3ea1a473f25efbd35b0a8891,421170,24.108456,20,multiprocessing
1,3,1549282,000000fc37d7f602da2ccd872b885aa0f565644d9fa4a9b095e985a2dec913fd,1549283,93.054681,20,multiprocessing
1,4,754915,00000f3820ca6f9c7b24394222dcfc22b416a980ad86066a9ece3f596d53fe9c,754916,45.551004,20,multiprocessing
1,5,213974,0000067787296c93621d9ea58d53b220439f34a89558f9d4c838ecdc225700d5,213975,14.449706,20,multiprocessing
1,6,1436592,00000658859b967808cb3768933ec1dee8a28737dc60df8793911277a6e780d3,1436593,85.242347,20,multiprocessing
1,7,146926,0000078451f286ab3872930fa7013786faab5ae03d200446b874d4f865e5cd1a,146927,9.398003,20,multiprocessing
2,8,62347,0000022416668f9c22cb46ae9d5fd1ddd1ad2bd61d7bedf8484160dfa140d3b2,62508,3.238803,20,multiprocessing
2,9,374179,00000f6fe82d8c53af6e0b45bef786d265240dfc5ded4291286b74a74aaff601,374342,17.501286,20,multiprocessing
2,10,933269,000000e25fe338ec58aae97127503e9f529c99ab4f4fa2123e16e2b20a3dd54f,933773,50.972017,20,multiprocessing
2,11,344565,00000b4525a5bc215e3380905b4002e4e2f91f22de03824f3d8dfb795ef1998a,344654,18.987242,20,multiprocessing
2,12,407563,000003f52dee1befb7758612d1a4213da0a8afe6fb5c68c36327bc976e343fca,407839,22.345384,20,multiprocessing
2,13,2080257,00000c1a95d1c68f76ca24003f9682f9f36bb5a11096ce046dcc59f7f083a041,2080759,101.859668,20,multiprocessing
2,14,144706,000006da2b3a7e7d3d6092788164ae52d7491b59941f0b06979df3d8e2619452,144413,6.323654,20,multiprocessing
2,15,1908790,0000080f10d160bc706757d8f2c5373dcbdefb32a81f5413d1fbc5835bd14483,1908745,87.810732,20,multiprocessing
4,16,209940,0000093d3d7bad35de8edd0aec195c2a0e2bf0c546f495b4b6803c9dcc62997e,208240,13.856112,20,multiprocessing
4,17,445259,00000f0f3e01eb837c473f848cd9df95535a89c0f744746cbff537cb0fcdb020,431591,25.605747,20,multiprocessing
4,18,2147945,00000c68fbc77cae7f62c5d949b3fce6872a0e73383845bb5225fed89396d0de,2188919,119.605878,20,multiprocessing
4,19,1291108,0000056d8fb84c28f5b5c2faffef3fd69bce82a1b328369300773218c2859164,1323834,72.748836,20,multiprocessing
4,20,4333964,0000037d94cbd5eb165dd10f63ef658cca4c5f02ed4a33926fad70f1850ab283,4369656,238.832974,20,multiprocessing
4,21,1042534,00000c6e739c781131a3172e99f5203304987b5197dd801ea88b4e63ed15ced8,1039319,56.222852,20,multiprocessing
4,22,192033,0000090cf165ca14073a0480e420d336b74c1e85fcb8780ed3241b246547c8d9,194544,11.683499,20,multiprocessing
4,23,1106575,000005b1f157d298da714048ae1f2b28b98304195819bb29040d782871ac2189,1104937,61.318442,20,multiprocessing
8,24,2331228,000008f8aae7411c76c72934c27a7f4edda77769f2c932da2c3c643eb86ee602,2297793,132.819259,20,multiprocessing
8,25,76256,00000942ed6a211407c955237bf7efa7f629a68c9570f2bd01439591d7d05def,65832,6.467833,20,multiprocessing
8,26,214479,000002199ba9b2559a4d827681f28e741b96daa167c37a5d1614666f35a80bed,225261,15.455578,20,multiprocessing
8,27,794369,00000e33103524bc208324f804a26c359844c46ad12eb13dd4fadd489c8fe580,761736,47.368986,20,multiprocessing
8,28,698130,000000d2e4847a56db58107be7ce5a9335b93c25c83ca593bc30ed21252e85b4,700768,42.974435,20,multiprocessing
8,29,204709,000005f4ae758f7ab854255ef6645b358cd90ed989705557a207ba6ce4bcf1b7,203361,14.831957,20,multiprocessing
8,30,1550307,000004cbe2b60178b949df9029e5d0d9efd2af239af9b67093e903d9984f526a,1574878,95.146402,20,multiprocessing
8,31,3064953,000003114131125fc0a3ee3b9b10a841043897c699884a858431e2fcb301c9c3,3061115,178.961262,20,multiprocessing
